pid,practiceOrder,blockOrder,leftCategoryC,leftCategoryI,rightCategoryC,rightCategoryI,leftAttC,leftAttI,rightAttC,rightAttI,trialECategory,trialICategory,switchStimulus,stimulus,stimulusCategory,startTimeSeed,block,blockType,trial,responseNum,rt,correct,response
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,SMILE,GOOD,1500659260788,1,attPractice1,1,1,489,false,BAD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,SMILE,GOOD,1500659260788,1,attPractice1,1,2,585,true,GOOD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,HAPPY,GOOD,1500659260788,1,attPractice1,2,1,89,false,BAD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,HAPPY,GOOD,1500659260788,1,attPractice1,2,2,193,true,GOOD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,EVIL,BAD,1500659260788,1,attPractice1,3,1,76,true,BAD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,ADORE,GOOD,1500659260788,1,attPractice1,4,1,114,true,GOOD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,HORRIBLE,BAD,1500659260788,1,attPractice1,5,1,60,true,BAD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,ANGRY,BAD,1500659260788,1,attPractice1,6,1,122,false,GOOD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,ANGRY,BAD,1500659260788,1,attPractice1,6,2,169,true,BAD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,TERRIBLE,BAD,1500659260788,1,attPractice1,7,1,139,false,GOOD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,TERRIBLE,BAD,1500659260788,1,attPractice1,7,2,211,true,BAD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,TRAGIC,BAD,1500659260788,1,attPractice1,8,1,124,false,GOOD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,TRAGIC,BAD,1500659260788,1,attPractice1,8,2,204,true,BAD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,BRUTAL,BAD,1500659260788,1,attPractice1,9,1,108,false,GOOD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,BRUTAL,BAD,1500659260788,1,attPractice1,9,2,196,true,BAD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,ENJOY,GOOD,1500659260788,1,attPractice1,10,1,108,true,GOOD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,UGLY,BAD,1500659260788,1,attPractice1,11,1,68,true,BAD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,DESTROY,BAD,1500659260788,1,attPractice1,12,1,123,false,GOOD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,DESTROY,BAD,1500659260788,1,attPractice1,12,2,187,true,BAD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,GLORIOUS,GOOD,1500659260788,1,attPractice1,13,1,124,true,GOOD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,CHEERFUL,GOOD,1500659260788,1,attPractice1,14,1,61,false,BAD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,CHEERFUL,GOOD,1500659260788,1,attPractice1,14,2,188,true,GOOD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,HATE,BAD,1500659260788,1,attPractice1,15,1,17,true,BAD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,DISASTER,BAD,1500659260788,1,attPractice1,16,1,114,false,GOOD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,DISASTER,BAD,1500659260788,1,attPractice1,16,2,203,true,BAD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,JOY,GOOD,1500659260788,1,attPractice1,17,1,104,true,GOOD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,PLEASANT,GOOD,1500659260788,1,attPractice1,18,1,91,false,BAD
12,attFirst,inconFirst,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,GOOD,BAD,BAD,GOOD,BAD,GOOD,attributes,PLEASANT,GOOD,1500659260788,1,attPractice1,18,2,195,true,GOOD
